GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FlashCards,edu.cmu.cs214.hw1.ordering.repetition,NonRepeatingCardOrganizer,0,11,0,2,0,2,0,3,0,2
FlashCards,edu.cmu.cs214.hw1.ordering.repetition,CardRepeater,1,16,1,1,0,1,1,2,0,2
FlashCards,edu.cmu.cs214.hw1.ordering.repetition,RepeatingCardOrganizer,2,39,2,6,0,6,2,6,0,4
FlashCards,edu.cmu.cs214.hw1.cards,FlashCard,0,22,0,0,0,2,0,4,0,4
FlashCards,edu.cmu.cs214.hw1.cards,CardStatus,15,28,0,0,1,10,1,5,1,5
FlashCards,edu.cmu.cs214.hw1.data,InMemoryCardStore,0,52,0,0,0,11,0,7,0,7
FlashCards,edu.cmu.cs214.hw1.data,CardLoader,65,0,6,0,12,0,5,0,2,0
FlashCards,edu.cmu.cs214.hw1.ordering.prioritization,RecentMistakesFirstSorter,2,66,1,9,1,16,1,7,0,3
FlashCards,edu.cmu.cs214.hw1.ordering.prioritization,MostMistakesFirstSorter,0,29,0,2,0,5,0,5,0,4
FlashCards,edu.cmu.cs214.hw1.ordering.prioritization,CardShuffler,12,0,0,0,4,0,2,0,2,0
FlashCards,edu.cmu.cs214.hw1.ordering,CardDeck,6,49,3,3,0,12,3,7,0,7
FlashCards,edu.cmu.cs214.hw1.ordering,MultiOrganizer,0,24,0,2,0,7,0,3,0,2
FlashCards,edu.cmu.cs214.hw1.cli,UI,107,0,12,0,33,0,10,0,4,0
FlashCards,edu.cmu.cs214.hw1.Achievement,Achievements,0,137,0,18,0,35,0,17,0,8
FlashCards,edu.cmu.cs214.hw1,Main,235,0,19,0,49,0,12,0,2,0
